sampleID	genomicsSampleID
BONA_006-M-34.5-17.5-20190828	BONA_006-M-20190828-COMP
BONA_013-O-31-29.5-20190828	BONA_013-O-20190828-COMP
BONA_013-O-19-30.5-20190828	BONA_013-O-20190828-COMP
BONA_013-O-11.5-2.5-20190828	BONA_013-O-20190828-COMP
BONA_013-M-19-30.5-20190828	BONA_013-M-20190828-COMP
BONA_013-M-11.5-2.5-20190828	BONA_013-M-20190828-COMP
BONA_013-M-31-29.5-20190828	BONA_013-M-20190828-COMP
BONA_002-M-18.5-36-20190828	BONA_002-M-20190828-COMP
BONA_002-M-33.5-34.5-20190828	BONA_002-M-20190828-COMP
BONA_002-M-6-8.5-20190828	BONA_002-M-20190828-COMP
BONA_002-O-6-8.5-20190828	BONA_002-O-20190828-COMP
BONA_002-O-18.5-36-20190828	BONA_002-O-20190828-COMP
BONA_002-O-33.5-34.5-20190828	BONA_002-O-20190828-COMP
BONA_009-O-32-16-20190828	BONA_009-O-20190828-COMP
BONA_009-O-31.5-32.5-20190828	BONA_009-O-20190828-COMP
BONA_009-O-2.5-24.5-20190828	BONA_009-O-20190828-COMP
BONA_009-M-2.5-24.5-20190828	BONA_009-M-20190828-COMP
BONA_009-M-31.5-32.5-20190828	BONA_009-M-20190828-COMP
BONA_009-M-32-16-20190828	BONA_009-M-20190828-COMP
BONA_084-O-13.5-34-20190830	BONA_084-O-20190830-COMP
BONA_084-O-20.5-9.5-20190830	BONA_084-O-20190830-COMP
BONA_084-O-5-10.5-20190830	BONA_084-O-20190830-COMP
BONA_084-M-13.5-34-20190830	BONA_084-M-20190830-COMP
BONA_084-M-5-10.5-20190830	BONA_084-M-20190830-COMP
BONA_084-M-20.5-9.5-20190830	BONA_084-M-20190830-COMP
BONA_001-O-26-4.5-20190830	BONA_001-O-20190830-COMP
BONA_001-O-28-37.5-20190830	BONA_001-O-20190830-COMP
BONA_001-O-15-34-20190830	BONA_001-O-20190830-COMP
BONA_001-M-26-4.5-20190830	BONA_001-M-20190830-COMP
BONA_001-M-15-34-20190830	BONA_001-M-20190830-COMP
BONA_001-M-28-37.5-20190830	BONA_001-M-20190830-COMP
BONA_004-M-13.5-32.5-20190830	BONA_004-M-20190830-COMP
BONA_004-M-17-6.5-20190830	BONA_004-M-20190830-COMP
BONA_004-M-23.5-6.5-20190830	BONA_004-M-20190830-COMP
BONA_004-O-13.5-32.5-20190830	BONA_004-O-20190830-COMP
BONA_004-O-17-6.5-20190830	BONA_004-O-20190830-COMP
BONA_004-O-23.5-6.5-20190830	BONA_004-O-20190830-COMP
DEJU_001-O-30-29.5-20170619	DEJU_001-O-20170619-COMP
DEJU_001-O-35.5-7-20170619	DEJU_001-O-20170619-COMP
DEJU_001-O-7-8.5-20170619	DEJU_001-O-20170619-COMP
DEJU_006-O-33-0-20170620	DEJU_006-O-20170620-COMP
DEJU_006-O-4-20.5-20170620	DEJU_006-O-20170620-COMP
DEJU_006-O-38.5-23.5-20170620	DEJU_006-O-20170620-COMP
DEJU_014-O-13-3.5-20170620	DEJU_014-O-20170620-COMP
DEJU_014-O-0-10.5-20170620	DEJU_014-O-20170620-COMP
DEJU_014-O-16.5-4.5-20170620	DEJU_014-O-20170620-COMP
DEJU_015-O-6-22-20170620	DEJU_015-O-20170620-COMP
DEJU_015-O-2.5-2-20170620	DEJU_015-O-20170620-COMP
DEJU_015-O-39-10-20170620	DEJU_015-O-20170620-COMP
DEJU_002-O-0.5-1-20170620	DEJU_002-O-20170620-COMP
DEJU_002-O-33-1-20170620	DEJU_002-O-20170620-COMP
DEJU_002-O-14-33.5-20170620	DEJU_002-O-20170620-COMP
DEJU_047-O-6-11.5-20170621	DEJU_047-O-20170621-COMP
DEJU_047-O-34-14.5-20170621	DEJU_047-O-20170621-COMP
DEJU_047-O-39-34-20170621	DEJU_047-O-20170621-COMP
DEJU_048-O-11-32-20170621	DEJU_048-O-20170621-COMP
DEJU_048-O-0.5-6.5-20170621	DEJU_048-O-20170621-COMP
DEJU_048-O-32-11-20170621	DEJU_048-O-20170621-COMP
DEJU_045-O-30.5-14.5-20170621	DEJU_045-O-20170621-COMP
DEJU_045-O-31-26-20170621	DEJU_045-O-20170621-COMP
DEJU_045-O-2.5-3-20170621	DEJU_045-O-20170621-COMP
DEJU_046-O-4.5-8-20170621	DEJU_046-O-20170621-COMP
DEJU_046-O-39-38.5-20170621	DEJU_046-O-20170621-COMP
DEJU_046-O-27.5-2.5-20170621	DEJU_046-O-20170621-COMP
DEJU_009-O-32-18.5-20170621	DEJU_009-O-20170621-COMP
DEJU_009-O-6-18-20170621	DEJU_009-O-20170621-COMP
DEJU_009-O-33-20.5-20170621	DEJU_009-O-20170621-COMP
DEJU_006-O-2.5-37.5-20180618	DEJU_006-O-20180618-COMP
DEJU_006-O-39.5-1.5-20180618	DEJU_006-O-20180618-COMP
DEJU_006-O-25-32.5-20180618	DEJU_006-O-20180618-COMP
DEJU_006-M-25-32.5-20180618	DEJU_006-M-20180618-COMP
DEJU_006-M-2.5-37.5-20180618	DEJU_006-M-20180618-COMP
DEJU_006-M-39.5-1.5-20180618	DEJU_006-M-20180618-COMP
DEJU_014-O-14-9-20180618	DEJU_014-O-20180618-COMP
DEJU_014-O-33.5-24.5-20180618	DEJU_014-O-20180618-COMP
DEJU_014-O-21-9.5-20180618	DEJU_014-O-20180618-COMP
DEJU_014-M-21-9.5-20180618	DEJU_014-M-20180618-COMP
DEJU_014-M-33.5-24.5-20180618	DEJU_014-M-20180618-COMP
DEJU_014-M-14-9-20180618	DEJU_014-M-20180618-COMP
DEJU_001-O-20.5-37.5-20180619	DEJU_001-O-20180619-COMP
DEJU_001-O-24.5-6.5-20180619	DEJU_001-O-20180619-COMP
DEJU_001-O-2-34.5-20180619	DEJU_001-O-20180619-COMP
